id,behavioral_income
LOA-LCTEB3CH,32172.022877206724
LOA-QDPJHBSQ,20940.403690570798
LOA-JUML6KBY,21845.5570558035
LOA-F43PQMC5,28347.2977232205
LOA-151UELMQ,40725.8170707217
LOA-S44LDRNA,61124.642665681225
LOA-H1MEUALR,20326.74137820115
LOA-3J2D1X13,18800.81060675193
LOA-J67VDT5R,21283.63512989623
LOA-EQM66E5X,19249.044846747543
LOA-AAG4SF9H,17844.23664959139
LOA-G48EKU65,28347.2977232205
LOA-ZM4NC1FT,26143.495147873604
LOA-HYK4DRMZ,23420.64346349559
LOA-7QCG3TAV,26823.942330115497
LOA-6VPZNUKS,20782.182942748255
LOA-A2AREZYZ,24475.935093465483
LOA-GZENM1PB,25843.409117157764
LOA-VCM2EKET,19252.419907576186
LOA-1MFQM49F,24174.278914983475
LOA-9UK3XFKH,63959.74787126458
LOA-QDXFZJ2S,35988.82333436332
3EEIAX83,32384.64602979064
LOA-P7HNLEYU,20554.460740249848
LOA-JTASU6UR,40359.19812536426
LOA-7UFSF5GY,27659.985555763837
LOA-GPZDLQD6,27824.482498181635
LOA-YQXFTKR7,76902.82578388747
LOA-3HY6G37T,20084.67301969362
LOA-3HY6G37T,20084.67301969362
LOA-SH2CAC7S,18404.905775928506
LOA-3UMCQCZ9,41994.26999711751
LOA-GXRG5HY7,19495.50083795798
LOA-BPTVQVGX,40914.48361443328
LOA-E1R53QKD,86953.5213246877
LOA-QCSAZXL1,24653.057145702754
LOA-AS9UP761,18721.906870511226
LOA-NY6XFGTR,21886.025627580817
LOA-1CGU264U,25043.689579760965
URTNPBFZ,38478.75731512883
LOA-ENQN4TEM,23286.58788198167
LOA-RD8P9NT2,18919.570027223646
LOA-348LUGB5,19963.681003350463
LOA-44LNXQZ7,31225.339929937378
LOA-D3PK4RVE,19192.745680576605
LOA-SMETS8UN,29844.65053694735
LOA-2GFVBC91,26010.418939473166
LOA-L6AZYA8L,25508.803466084424
LOA-L6AZYA8L,25508.803466084424
LOA-5XHZ5TTG,35690.34044734843
LOA-U5ZZJTSC,21702.736601585446
LOA-U5ZZJTSC,21702.736601585446
LOA-QNFXRMHF,49936.45183964109
LOA-D9A36PHS,29666.575928474074
LOA-R684VBA9,20022.212998858206
LOA-FDU65PNZ,23307.028684784913
LOA-ZEYS8HQE,24038.844149923516
LOA-3ZUE79R8,19351.879007070125
LOA-1P9S2UUH,28237.687121084033
LOA-SAMN15ZN,39333.464449218525
LOA-42GHB6UU,21093.75689762807
LOA-HC21K8QD,38179.32927829026
LOA-5AJN9C5E,40210.9812929046
JB6YKMN1,22871.933722968995
LOA-XA2PAGBK,25382.18927532577
LOA-CA9PFYGR,16414.407631703423
LOA-D4M72ZM6,28347.2977232205
LOA-2X4HAA8Y,27920.205502412333
LOA-LHRACMAC,42222.89263732686
LOA-VM284C4G,31892.949338878578
LOA-UMDNXLB2,16531.415213706663
LOA-84MYFUTZ,25346.321695112598
LOA-8DZZTNVB,20640.07122409467
LOA-KRGUFHSH,57417.81976666551
LOA-8L5CF6KT,32680.016144665096
RJCYRUCU,49216.21905328913
LOA-RE68REV2,23788.46747204778
LOA-3RQDBY17,34041.21943224132
LOA-G74JQRPE,21367.859129665852
LOA-G74JQRPE,21367.859129665852
LOA-ZKZBU78H,27484.14041338688
LOA-C7D58KL1,28347.2977232205
LOA-YJZ4YSLR,28922.39526282404
LOA-6A9ATNS7,19195.53124849972
LOA-TC2CH7S6,23284.385365898128
LOA-SZ7ZXPK5,64905.3213667026
LOA-CVC5VY8K,54858.65339618541
LOA-CVC5VY8K,54858.65339618541
LOA-CVC5VY8K,54858.65339618541
LOA-LU9NHUBF,17662.26079528947
LOA-331LBMKC,23180.448471947824
LOA-G2Y49GZD,49467.36955010201
LOA-XJAJSPVB,28347.2977232205
LOA-1HPDTQT1,191844.89508643135
LOA-NK4NK8XL,23460.40159145932
LOA-EG1RLAVZ,18628.89676317436
LOA-VC4G31MC,69825.31557977527
LOA-RLN42L67,29850.726742235438
1U3EBNNY,25800.318362364833
LOA-PCYFKVYJ,19787.252208777874
LOA-UDLYPDTG,27651.77571188175
KHRDJ2UG,37986.600326344516
LOA-36HTZH3G,19551.19167640211
TY6ZL2QL,27791.289162998684
LOA-2KXP4ESJ,22869.142120001765
VJY1UMCH,42842.67859993577
LOA-YB8LV76U,18897.454298588516
LOA-86PK5S31,27420.617738794732
LOA-GXTDTZFJ,22750.02826973407
LOA-UQBQFYA8,81405.8426716672
LOA-G25551JT,28347.2977232205
LOA-FCJZ7F5H,26111.69912583285
LOA-ETA6JPCX,19305.18762749445
LOA-XPD7R8D3,40418.69012429904
AGVR7M88,15709.494695959404
LOA-CTXQ4KC5,14980.36784960114
LOA-EEHMDKNT,54888.32360507767
FZL9VYTS,24213.524406155026
ZF18QZXQ,77686.44103538306
LOA-R1C5133G,24091.484834530103
LOA-XBDS824N,21023.62102660382
LOA-JURV16JL,27194.973373742618
LOA-8DT84837,18146.703503554127
LOA-LPG2LYSD,26311.311514987156
LOA-19TRX8AE,28347.2977232205
LOA-D5B5J5PA,26360.370763736206
LOA-C8TU3VR5,64069.089544554365
LOA-N6Q5JK7L,87763.93458849087
LOA-TRZRY4D3,25604.531993403176
LOA-CJT6L2DV,126820.98897187569
LOA-7EFFSM2Y,17615.494757179018
LOA-XY4BCGS7,19109.280069199813
LOA-2SKYSYPJ,20819.74302696947
LOA-X9AD6SAA,28347.2977232205
LOA-G6DS6N3C,29129.54475895926
LOA-VZ3HBK78,34238.00187677089
LOA-U6ZBYMRF,19067.61429421394
LOA-HCM95GVT,28347.2977232205
LOA-Y4JD5Q1V,28347.2977232205
LOA-CJPRN1ZU,20378.259064332542
LOA-18QXEGG2,28347.2977232205
LOA-R2CEEGQQ,26025.60242566286
LOA-8M299FSJ,17923.323562963913
M1EGZG7P,18418.53451173895
LOA-YTV8YR37,27902.064677953666
48UJ2Q1X,26192.039965484633
LOA-AF1VSFBJ,19872.168576440272
LOA-2ML6X9TR,28347.2977232205
BC1TH657,19821.671348608863
LOA-6RTPXX3P,70934.58629838891
LOA-7JMFFXQN,63200.22740843277
ACGD6ZNR,36465.00876670952
LOA-NUS6MG4D,22609.32538028242
LOA-1NQH6BUG,16355.546772079733
LOA-YF1NJZBD,22767.96895101419
LOA-P7HDR6J3,22768.68528742182
LOA-RSF3CQ7Z,45152.579075381575
LOA-FPXFU8X4,28160.70114335839
LOA-L3D1NPMA,17951.2773707531
JXKS4HKU,30112.08939250523
LOA-8TTBVMTX,23778.24349402474
T9DTSV6B,24134.21705007717
LOA-MBDGZ9MT,40101.12761570526
LOA-TPF5RQ3M,43914.39506966518
LOA-N56DFUFG,23292.992619065368
LOA-5ZAGB37G,19578.148327770174
V95NA5U5,19513.52793291877
LOA-TNQ164ZN,46543.00225861196
F14QG889,21273.635364788566
LOA-C34PSFX4,30007.88835247299
LOA-L28SQ1NF,28347.2977232205
LOA-DCAA21NF,18477.43519328292
LOA-LJDH56Q6,19884.55713586928
LOA-HJL92VG9,22231.20989781327
D7QJ2X4C,19122.774628058378
LOA-TUR5Y9PH,18911.28170714207
2ZSNU8VH,20286.70102829169
LOA-QXEHH8HE,24954.67175747123
LOA-4UDNXQ7A,18466.26229376596
LOA-5MY2CBYZ,16996.097491894496
LOA-EKJF6AUS,33624.810575515614
LOA-ZAX8U1HL,22823.43210391038
LOA-SHZZN4M4,63790.62839042378
LOA-KQHCT984,28347.2977232205
XME7NTGG,25607.831409067723
LOA-7PDC7CQM,22984.58935902785
LOA-3PH666NZ,28347.2977232205
LOA-4SPHLT8D,39129.627412391514
LOA-TK4QBLU3,21234.070279056643
LOA-4HL6NFB8,56784.12567572336
N4VZSSCN,28895.484976624117
N4VZSSCN,28895.484976624117
LOA-HPMJ7XLU,40325.78029906481
LOA-46J8G17Y,20764.47667344426
LOA-ZHEHRPQ4,30150.453393877466
LOA-S2TDB59U,141686.03669748304
LOA-FBMJN32N,37295.68014293975
LOA-TF6342LX,20220.92208410799
BNFRCMZQ,19827.93776933872
LOA-AJ5BB43Y,19324.698586539755
I9FE2X31,26856.45805485417
LOA-NN43AQ17,22472.85132020167
LOA-6M1UYE5P,29433.35689976013
LOA-UH12FX6B,25948.009742626033
LOA-1XBUAAJQ,19922.069020527306
LOA-LFV5234X,25235.11301259459
IJVTDUIG,26512.947867766194
LOA-MDTCTZX7,22845.87817716537
LOA-QNSZTF25,56261.4007616275
LOA-9GL5H5A9,26899.612573742466
LOA-A31PR6SK,42729.33967101012
LOA-TL7LDETQ,36546.39805299748
LOA-1Q1LEXHF,17987.93146259286
LOA-TXJU3G3D,28347.2977232205
LOA-1BS218PY,23247.401849373342
LOA-F1G5VSG9,57655.42969432515
LOA-DQGP44FF,22338.058904366084
LOA-UVGJDSTS,32027.225332717564
LOA-KD7FSR6U,17762.5540253615
LOA-E4LMQJUM,28234.607149856987
LOA-E3DTMYHP,30044.40025776433
LOA-E3DTMYHP,30044.40025776433
LOA-42GQF7EB,44629.71232093705
LOA-NCAGR93U,18884.689285882192
LOA-U4QJ6AZ6,20111.29068107262
LOA-EP67VMHN,117298.18636579164
LOA-EKJMHLBL,35321.16297842462
LOA-GD5MH12N,28347.2977232205
LOA-2KXCMSGG,17514.093382712927
LOA-BP2JD5HL,19336.195828166678
LOA-DRUQ4UPR,17955.57623996718
LOA-XHSRP2L7,24862.882726825766
LOA-JKSX29C6,60086.19578856489
LOA-Y612XVDU,18845.35428851839
LOA-EV7N3CLL,34932.80035976215
LOA-YFD5PMR3,27006.726874590095
LOA-QLMC2VV9,25543.547405962894
LOA-7NLCLMTF,26803.11692530944
LOA-2NGQVQ6M,20182.911099118926
LOA-VS3JNB6B,21539.99547964252
XQ5SLY8Z,15616.970408017807
LOA-XMEZ3EJQ,212990.2481035909
LOA-E7ZTFRZV,36520.78969557833
LOA-39QN97LH,43899.47534692624
LOA-KUBH82NC,17538.21392724203
LOA-LNE1PRUR,34969.5439932348
LOA-BKSDAXHG,60610.83089492517
LOA-ZV3EDNGH,27162.947220750157
LOA-R5EYVBFJ,34948.94623754569
LOA-EZ7F21RL,33924.87983815629
LOA-DV1TTX8A,30656.641729848172
LOA-ZAKJCZTM,32682.297771008318
LOA-H99AB7PL,24971.335090048473
LOA-VX13ZA1Q,27751.20904534069
LOA-ZYCVQLUA,32922.667593185506
LOA-Z399ND5X,19149.231968235406
LOA-KA3NF656,52789.72549698905
LOA-YHFV22PF,39036.61825277853
